Game Title,Game Publisher,Game Platform,Game Genre,Game Release Date,Critic Score,User Score,Year
Star Wars: Battlefront II,LucasArts,PC,Action/Shooter/Shooter/First-Person/Sci-Fi/Sci-Fi/Arcade,2005-10-31,78,8.6,2005.0
Milkmaid of the Milky Way,machineboy,PC,Adventure/Point-and-Click,2017-01-04,74,7.0,2017.0
Hatsune Miku: Project Diva Future Tone - Future Sound,Sega,PlayStation 4,Action/Rhythm/Music,2017-01-10,84,7.7,2017.0
Hatsune Miku: Project Diva Future Tone - Colorful Tone,Sega,PlayStation 4,Action/Rhythm/Music,2017-01-10,84,7.9,2017.0
Nevermind,Flying Mollusk,Xbox One,Action Adventure/Adventure/3D/Linear/First-Person,2017-01-11,65,6.3,2017.0
Detention,Red Candle Games,PC,Adventure/General,2017-01-12,83,7.8,2017.0
Rise & Shine,Adult Swim,PC,Action/Platformer/2D,2017-01-13,64,6.0,2017.0
Rise & Shine,Adult Swim,Xbox One,Action/Platformer/2D,2017-01-13,66,6.2,2017.0
Dead Effect 2,BadFly Interactive/a.s/BadFly Interactive,Xbox One,Action/General/Shooter/First-Person/Arcade,2017-01-13,56,6.4,2017.0
RWBY: Grimm Eclipse,Rooster Teeth Games,Xbox One,Action/Beat-'Em-Up/3D,2017-01-17,57,6.4,2017.0
The Flame in the Flood: Complete Edition,Curve Digital/The Molasses Flood,PlayStation 4,Action Adventure/General/Survival,2017-01-17,76,6.2,2017.0
She Remembered Caterpillars,Ysbryd Games,PC,Puzzle/Action,2017-01-17,82,5.9,2017.0
Siegecraft Commander,Blowfish Studios,Xbox One,Strategy/Real-Time/MOBA/Defense,2017-01-17,61,tbd,2017.0
Atelier Shallie Plus: Alchemists of the Dusk Sea,Koei Tecmo Games,PlayStation Vita,Role-Playing/Japanese-Style,2017-01-17,78,7.5,2017.0
Fate/Extella: The Umbral Star,XSEED Games,PlayStation 4,Action/Beat-'Em-Up/3D,2017-01-17,67,7.2,2017.0
Mighty Morphin Power Rangers: Mega Battle,Bandai Namco Games,PlayStation 4,Action/Beat-'Em-Up/2D,2017-01-17,49,7.5,2017.0
2064: Read Only Memories,MidBoss,PlayStation 4,General/Adventure/Point-and-Click,2017-01-17,76,3.4,2017.0
"Warhammer 40,000: Sanctus Reach",Slitherine,PC,Strategy/Real-Time/General,2017-01-19,69,6.9,2017.0
Stars in Shadow,Iceberg Interactive,PC,Strategy/Turn-Based/General/4X,2017-01-19,75,8.3,2017.0
I Am Bread,Bossa Studios,Xbox One,Action/Miscellaneous/General/Platformer/3D,2017-01-20,59,3.8,2017.0
The Assembly,nDreams,Xbox One,Miscellaneous/General,2017-01-20,70,6.0,2017.0
Metrico+,Digital Dreams,Xbox One,Puzzle/Action,2017-01-20,75,tbd,2017.0
Dragon Quest VIII: Journey of the Cursed King,Square Enix/Nintendo,3DS,Role-Playing/Japanese-Style,2017-01-20,85,8.6,2017.0
Hunter's Legacy,Lienzo,Xbox One,Action/Action Adventure/Platformer/Open-World/2D/Metroidvania,2017-01-20,61,tbd,2017.0
Toby: The Secret Mine,Headup Games,Xbox One,Action/Platformer/2D,2017-01-20,62,5.0,2017.0
Gravity Rush 2,SCEA/SCEI/Sony Interactive Entertainment,PlayStation 4,Action/Action Adventure/Platformer/Open-World/3D,2017-01-20,80,8.1,2017.0
Urban Empire,Kalypso,PC,Strategy/Management/Government,2017-01-20,62,5.3,2017.0
Resident Evil 7: biohazard,Capcom,PC,Action Adventure/Survival,2017-01-23,83,7.9,2017.0
Yakuza 0,Sega,PlayStation 4,Action Adventure/Open-World,2017-01-24,85,8.6,2017.0
Resident Evil 7: biohazard,Capcom,PlayStation 4,Action Adventure/Survival,2017-01-24,86,8.1,2017.0
Moto Racer 4,Microids,PlayStation 4,Racing/Arcade/Other,2017-01-24,49,4.7,2017.0
Resident Evil 7: biohazard,Capcom,Xbox One,Action Adventure/Survival,2017-01-24,86,8.1,2017.0
Tales of Berseria,Bandai Namco Games,PlayStation 4,Japanese-Style/Role-Playing/Action RPG,2017-01-24,79,7.2,2017.0
Kingdom Hearts HD 2.8 Final Chapter Prologue,Square Enix,PlayStation 4,Miscellaneous/Compilation/Role-Playing/Action RPG,2017-01-24,76,8.2,2017.0
Memoranda,Digital Dragon,PC,Adventure/Point-and-Click,2017-01-25,58,6.7,2017.0
TowerFall Ascension,Matt Makes Games Inc.,Xbox One,Action/General/Platformer/2D,2017-01-25,80,7.2,2017.0
A Normal Lost Phone,Plug In Digital/Plug In Digital Label,PC,Simulation/General,2017-01-26,71,7.0,2017.0
Tales of Berseria,Bandai Namco Games,PC,Japanese-Style/Role-Playing/Action RPG,2017-01-26,80,6.6,2017.0
imprint-X,Morgondag,PC,Puzzle/Action,2017-01-26,72,tbd,2017.0
Earthlock: Festival of Magic,Snow Castle Games/Soedesco,PlayStation 4,Role-Playing/General,2017-01-27,56,6.2,2017.0
The Sun and Moon,Digerati Distribution,Xbox One,Action/Platformer/2D,2017-01-27,69,tbd,2017.0
Doodle God: Ultimate Edition,JoyBits/JoyBits Co. Ltd.,Xbox One,Miscellaneous/Board / Card Game,2017-01-27,53,tbd,2017.0
Double Dragon IV,Arc System Works,PC,Action/Beat-'Em-Up/2D,2017-01-30,50,5.8,2017.0
Double Dragon IV,Arc System Works,PlayStation 4,Action/Beat-'Em-Up/2D,2017-01-30,49,6.2,2017.0
Resident Evil 7: biohazard - Banned Footage Vol. 1,Capcom,PlayStation 4,Action Adventure/Survival,2017-01-31,75,6.2,2017.0
Dynasty Warriors: Godseekers,Koei Tecmo Games,PlayStation 4,Strategy/Turn-Based/Tactics,2017-01-31,70,8.2,2017.0
Pinball FX 2: Star Wars Pinball - Rogue One,Zen Studios,PlayStation 4,Action/Pinball,2017-01-31,74,3.5,2017.0
Call of Duty: Infinite Warfare - Sabotage,Activision,PlayStation 4,Action/Shooter/First-Person/Tactical,2017-01-31,76,1.7,2017.0
DEXED,Ninja Theory,PlayStation 4,Action/Shooter/Rail,2017-01-31,65,tbd,2017.0
Digimon World: Next Order,Bandai Namco Games,PlayStation 4,Role-Playing/Trainer,2017-01-31,68,6.9,2017.0
Knee Deep,Wales Interactive,PlayStation 4,Adventure/Point-and-Click,2017-01-31,54,tbd,2017.0
Linelight,My Dog Zorro,PlayStation 4,Puzzle/Action,2017-01-31,77,5.5,2017.0
Divide,Exploding Tuba Studios,PlayStation 4,Action Adventure/Linear,2017-01-31,50,tbd,2017.0
Candleman,E-Home Entertainment,Xbox One,Action/Platformer/3D,2017-02-01,78,7.1,2017.0
Alwa's Awakening,Elden Pixels,PC,Action/Action Adventure/Platformer/Open-World/Metroidvania,2017-02-02,71,7.2,2017.0
Diluvion,Gambitious,PC,Action Adventure/Open-World,2017-02-02,66,6.2,2017.0
Naruto Shippuden: Ultimate Ninja Storm 4 - Road to Boruto Expansion,Bandai Namco Games,PlayStation 4,Action/Fighting/3D,2017-02-03,70,7.1,2017.0
Naruto Shippuden: Ultimate Ninja Storm 4 - Road to Boruto Expansion,Bandai Namco Games,Xbox One,Action/Fighting/3D,2017-02-03,77,7.1,2017.0
Husk,IMGN.PRO,PC,Action Adventure/Survival,2017-02-03,44,4.2,2017.0
Knee Deep,Wales Interactive,Xbox One,Adventure/Point-and-Click,2017-02-03,66,tbd,2017.0
Pixel Heroes: Byte & Magic,Headup Games,Xbox One,Role-Playing/General/Roguelike,2017-02-03,58,tbd,2017.0
Poochy & Yoshi's Woolly World,Nintendo,3DS,Action/Platformer/2D,2017-02-03,77,7.8,2017.0
How to Survive 2,505 Games,PlayStation 4,Action Adventure/Survival,2017-02-06,67,5.9,2017.0
Uncanny Valley,Digerati Distribution/Cowardly Creations,PlayStation 4,Action Adventure/Survival,2017-02-07,52,4.4,2017.0
Splasher,The Sidekicks,PC,Action/Platformer/2D,2017-02-07,79,6.9,2017.0
Kitty Powers' Matchmaker,STELLAR ENTERTAINMENT SOFTWARE LTD,PlayStation 4,Action/Strategy/General/Management/Business / Tycoon,2017-02-07,72,6.3,2017.0
Nioh,Koei Tecmo Games/Sony Interactive Entertainment,PlayStation 4,Role-Playing/Action RPG,2017-02-07,88,8.3,2017.0
Phoning Home,ION LANDS,PC,Action Adventure/General,2017-02-07,61,7.3,2017.0
Pix the Cat,Pasta Games,Xbox One,Action/Arcade,2017-02-08,70,tbd,2017.0
Bleed 2,BootdiskRevolution,PC,Action/Platformer/2D,2017-02-08,83,7.1,2017.0
Alone With You (2017),Benjamin Rivers,PC,Adventure/General,2017-02-09,74,5.2,2017.0
Spheroids,Eclipse Games,Xbox One,Action/Platformer/2D,2017-02-10,64,tbd,2017.0
Uncanny Valley,Digerati Distribution,Xbox One,Action Adventure/Survival,2017-02-10,57,3.3,2017.0
For Honor,Ubisoft,PC,Action Adventure/General,2017-02-13,76,5.2,2017.0
Resident Evil 7: biohazard - Banned Footage Vol. 2,Capcom,PlayStation 4,Action Adventure/Survival,2017-02-14,67,6.9,2017.0
iO,Gamious,Xbox One,Puzzle/Action,2017-02-14,68,tbd,2017.0
iO,Gamious,PlayStation 4,Puzzle/Action,2017-02-14,68,tbd,2017.0
Flywrench,Messhof,PlayStation 4,Puzzle/Action/General,2017-02-14,78,3.5,2017.0
Sniper Elite 4,Sold Out,Xbox One,Action/Shooter/First-Person/Tactical,2017-02-14,81,8.0,2017.0
Sniper Elite 4,Rebellion,PC,Action/Shooter/First-Person/Tactical,2017-02-14,78,7.7,2017.0
Ride 2,Square Enix,Xbox One,Racing/Simulation/Automobile,2017-02-14,66,7.2,2017.0
Semispheres,Vivid Helix,PlayStation 4,Puzzle/Action,2017-02-14,72,tbd,2017.0
Sniper Elite 4,Rebellion,PlayStation 4,Action/Shooter/First-Person/Tactical,2017-02-14,77,7.9,2017.0
Ride 2,Square Enix,PlayStation 4,Racing/Simulation/Automobile,2017-02-14,69,6.3,2017.0
For Honor,Ubisoft,Xbox One,Action Adventure/General,2017-02-14,79,5.9,2017.0
For Honor,Ubisoft,PlayStation 4,Action Adventure/General,2017-02-14,78,6.1,2017.0
The Wardrobe,Adventure Productions,PC,Adventure/Point-and-Click,2017-02-15,72,7.0,2017.0
theHunter: Call of the Wild,Avalanche Studios,PC,Sports/Individual/Nature/Hunting,2017-02-16,64,6.5,2017.0
Tank Troopers,Nintendo,3DS,Simulation/Vehicle/Combat,2017-02-16,64,6.0,2017.0
Realpolitiks,1C Entertainment,PC,Strategy/Real-Time/General,2017-02-16,52,6.7,2017.0
Halo Wars 2,Microsoft Game Studios/THQ Nordic,PC,Strategy/Real-Time/General,2017-02-17,70,6.2,2017.0
Halo Wars 2,Microsoft Game Studios,Xbox One,Strategy/Real-Time/General,2017-02-17,79,6.4,2017.0
Typoman: Revised,Brainseed Factory,Xbox One,Action/Platformer/2D,2017-02-17,73,tbd,2017.0
Night in the Woods,Finji/Infinite Fall,PC,Fantasy/Action Adventure/Adventure/General,2017-02-21,88,7.7,2017.0
Berserk and the Band of the Hawk,Koei Tecmo Games,PlayStation 4,Action/Beat-'Em-Up/3D,2017-02-21,66,7.1,2017.0
Vaccine,Rainy Night Creations/RNC,Xbox One,Action Adventure/Survival,2017-02-21,48,tbd,2017.0
Night in the Woods,Infinite Fall,PlayStation 4,Fantasy/Action Adventure/Adventure/General,2017-02-21,87,7.3,2017.0
Chime Sharp,Chilled Mouse,PlayStation 4,Puzzle/General,2017-02-21,76,2.9,2017.0
Malicious Fallen,Sony Interactive Entertainment,PlayStation 4,Action/General,2017-02-21,62,5.5,2017.0
Psychonauts in The Rhombus of Ruin,Double Fine Productions,PlayStation 4,Action/General,2017-02-21,71,7.4,2017.0
Halo Wars: Definitive Edition,Microsoft Game Studios/Microsoft,Xbox One,Strategy/Real-Time/General/Command,2017-02-21,81,7.7,2017.0
Shift Happens,Deck 13,Xbox One,Action/Platformer/2D,2017-02-22,69,6.8,2017.0
Herald: An Interactive Period Drama,Wispfire,PC,Adventure/3D/First-Person,2017-02-22,77,tbd,2017.0
Deus Ex: Mankind Divided - A Criminal Past,Square Enix,PlayStation 4,Action Adventure/General,2017-02-23,81,7.6,2017.0
Shadows of Adam,Something Classic Games LLC,PC,Role-Playing/Japanese-Style,2017-02-23,78,6.9,2017.0
forma.8,MixedBag,PlayStation 4,Action/Action Adventure/Platformer/Open-World/2D/Metroidvania,2017-02-23,78,5.4,2017.0
Trulon: The Shadow Engine,Headup Games,Xbox One,Role-Playing/Japanese-Style,2017-02-24,49,tbd,2017.0
911 Operator,PlayWay,PC,Simulation/Virtual/Career,2017-02-24,68,6.7,2017.0
Chime Sharp,Chilled Mouse,Xbox One,Puzzle/General,2017-02-24,75,2.1,2017.0
A Pixel Story,Rising Star Games,Xbox One,Action/Platformer/2D,2017-02-24,73,tbd,2017.0
Hollow Knight,Team Cherry,PC,Action/Action Adventure/General/Platformer//Metroidvania,2017-02-24,87,9.1,2017.0
Stories Untold,Devolver Digital,PC,Adventure/Text,2017-02-27,81,7.0,2017.0
Story of Seasons: Trio of Towns,XSEED Games,3DS,Strategy/Management/Business / Tycoon,2017-02-28,74,7.8,2017.0
Horizon Zero Dawn,SCEA/Sony Interactive Entertainment,PlayStation 4,Role-Playing/Action Adventure/Action RPG/Open-World,2017-02-28,89,8.4,2017.0
Dying: Reborn,Oasis Games,PlayStation 4,Adventure/3D/First-Person,2017-02-28,38,5.2,2017.0
Torment: Tides of Numenera,Techland/InXile Entertainment,Xbox One,General/Role-Playing/Western-Style,2017-02-28,79,6.5,2017.0
The Incredible Adventures of Van Helsing: Extended Edition,NeocoreGames,PlayStation 4,Role-Playing/Action RPG,2017-02-28,66,5.9,2017.0
Torment: Tides of Numenera,Techland/InXile Entertainment,PC,General/General/Role-Playing/Western-Style,2017-02-28,81,6.9,2017.0
Ghost Blade HD,HUCAST,Xbox One,Action/Shooter/Shoot-'Em-Up/Vertical,2017-02-28,72,6.4,2017.0
DESYNC,Adult Swim,PC,Action/Shooter/First-Person/Arcade,2017-02-28,69,7.1,2017.0
Ghost Blade HD,HUCAST/2Dream,PlayStation 4,Action/Shooter/Shoot-'Em-Up/Vertical,2017-02-28,62,6.3,2017.0
Torment: Tides of Numenera,Techland/InXile Entertainment,PlayStation 4,General/Role-Playing/Western-Style,2017-02-28,76,7.1,2017.0
Robo Recall,Epic Games/Oculus,PC,Action/General/Shooter/Light Gun,2017-03-01,85,7.7,2017.0
Skylanders Imaginators,Activision,Switch,Action/Platformer/3D,2017-03-03,72,5.4,2017.0
Fast RMX,Shin'en,Switch,Racing/Arcade/Futuristic,2017-03-03,81,7.9,2017.0
"Snipperclips - Cut it out, together!",Nintendo,Switch,Puzzle/General,2017-03-03,80,8.2,2017.0
Just Dance 2017,Ubisoft,Switch,Action/Rhythm/Dancing,2017-03-03,72,5.3,2017.0
I Am Setsuna,Square Enix,Switch,Role-Playing/Japanese-Style,2017-03-03,75,7.5,2017.0
Super Bomberman R,Konami,Switch,Puzzle/Action/Arcade,2017-03-03,62,6.7,2017.0
The Legend of Zelda: Breath of the Wild,Nintendo,Switch,Action Adventure/Open-World,2017-03-03,97,8.7,2017.0
The Legend of Zelda: Breath of the Wild,Nintendo,Wii U,Fantasy/Fantasy/Action Adventure/Open-World,2017-03-03,96,8.3,2017.0
Shovel Knight: Specter of Torment,Yacht Club Games,Switch,Action/Platformer/2D,2017-03-03,84,8.1,2017.0
New Frontier Days: Founding Pioneers,Arc System Works,Switch,Strategy/Management/Government/Business / Tycoon,2017-03-03,52,4.6,2017.0
Shovel Knight: Treasure Trove,Yacht Club Games,Switch,Action/Platformer/2D,2017-03-03,91,8.2,2017.0
1-2-Switch,Nintendo,Switch,Miscellaneous/Party / Minigame,2017-03-03,58,4.8,2017.0
Tom Clancy's Ghost Recon: Wildlands,Ubisoft,PC,Action Adventure/Open-World,2017-03-06,69,6.7,2017.0
Sublevel Zero Redux,Sigtrap Games,PlayStation 4,Simulation/Space/Combat,2017-03-07,71,5.8,2017.0
Loot Rascals,Hollow Ponds,PlayStation 4,Action Adventure/General,2017-03-07,71,5.4,2017.0
Darknet,Archiact Interactive Ltd.,PlayStation 4,Puzzle/General,2017-03-07,78,5.8,2017.0
LEGO Worlds,Warner Bros. Interactive Entertainment,PlayStation 4,Action Adventure/Sandbox,2017-03-07,66,6.4,2017.0
NieR: Automata,Square Enix,PlayStation 4,Role-Playing/Action RPG,2017-03-07,88,8.9,2017.0
LEGO Worlds,Warner Bros. Interactive Entertainment/TT Games,PC,Action Adventure/Sandbox,2017-03-07,71,6.6,2017.0
Loot Rascals,Hollow Ponds,PC,Action Adventure/General,2017-03-07,71,7.1,2017.0
Atelier Firis: The Alchemist and the Mysterious Journey,Koei Tecmo Games,PlayStation 4,Role-Playing/Japanese-Style,2017-03-07,74,7.1,2017.0
Tom Clancy's Ghost Recon: Wildlands,Ubisoft,Xbox One,Action Adventure/Open-World,2017-03-07,76,6.8,2017.0
Disc Jam,High Horse Entertainment,PlayStation 4,Sports/Team/Futuristic,2017-03-07,72,6.3,2017.0
LEGO Worlds,Warner Bros. Interactive Entertainment,Xbox One,Action Adventure/Sandbox,2017-03-07,69,6.8,2017.0
Tom Clancy's Ghost Recon: Wildlands,Ubisoft,PlayStation 4,Action Adventure/Open-World,2017-03-07,70,6.4,2017.0
Faeria,Abrakam SA,PC,Miscellaneous/Board / Card Game,2017-03-08,81,7.8,2017.0
Verdun,M2H/Blackmill Games,Xbox One,Action/Shooter/First-Person/Tactical/Arcade,2017-03-08,46,5.4,2017.0
VOEZ,Flyhigh Works,Switch,Action/Rhythm/Music,2017-03-09,81,8.0,2017.0
ACA NeoGeo: Metal Slug 3,Hamster,Switch,Action/Miscellaneous/Shooter/Compilation/Shoot-'Em-Up/Horizontal,2017-03-09,76,7.7,2017.0
ACA NeoGeo: Shock Troopers,Hamster,Switch,Action/Shooter/Shoot-'Em-Up/Top-Down,2017-03-09,70,7.0,2017.0
Blaster Master Zero,Inti Creates,Switch,Action/Platformer/2D,2017-03-09,78,7.6,2017.0
2Dark,Gloomywood,PC,Action Adventure/General,2017-03-10,68,5.8,2017.0
2Dark,Gloomywood,PlayStation 4,Action Adventure/General,2017-03-10,54,7.1,2017.0
2Dark,Gloomywood,Xbox One,Action Adventure/General,2017-03-10,65,6.9,2017.0
Table Top Racing: World Tour,Playrise Digital,Xbox One,Racing/Arcade/Automobile,2017-03-10,75,4.9,2017.0
Styx: Shards of Darkness,Focus Home Interactive/Maximum Games,Xbox One,Action Adventure/General,2017-03-14,72,7.3,2017.0
Styx: Shards of Darkness,Focus Home Interactive,PC,Action Adventure/General,2017-03-14,72,7.7,2017.0
Danganronpa 1-2 Reload,NIS America,PlayStation 4,Miscellaneous/Compilation,2017-03-14,83,8.4,2017.0
Styx: Shards of Darkness,Focus Home Interactive/Maximum Games,PlayStation 4,Action Adventure/General,2017-03-14,72,7.2,2017.0
Battlefield 1: They Shall Not Pass,Electronic Arts,PC,Action/Shooter/First-Person/Tactical,2017-03-14,76,4.8,2017.0
Future Unfolding,Spaces of Play,PC,Action Adventure/Open-World,2017-03-15,76,6.6,2017.0
Chaos Code: New Sign of Catastrophe,Arc System Works,PlayStation 4,Action/Fighting/2D,2017-03-15,66,tbd,2017.0
Little Inferno,Tomorrow Corporation,Switch,Puzzle/Action,2017-03-16,71,7.0,2017.0
Momodora: Reverie Under the Moonlight,Playism/Active Gaming Media,PlayStation 4,Action/Action Adventure/General/Platformer/Open-World/Metroidvania,2017-03-16,76,7.4,2017.0
World of Goo,Tomorrow Corporation,Switch,Puzzle/Action,2017-03-16,84,7.7,2017.0
Human Resource Machine,Tomorrow Corporation,Switch,Puzzle/General,2017-03-16,77,7.6,2017.0
The Binding of Isaac: Afterbirth +,Nicalis,Switch,Action/Shooter/Shoot-'Em-Up/Top-Down,2017-03-17,85,8.2,2017.0
FlatOut 4: Total Insanity,Strategy First/Bigben Interactive,Xbox One,Racing/Arcade/Automobile,2017-03-17,66,5.3,2017.0
Senran Kagura: Estival Versus,XSEED Games,PC,Action/General,2017-03-17,71,7.2,2017.0
FlatOut 4: Total Insanity,Strategy First,PlayStation 4,Racing/Arcade/Automobile,2017-03-17,62,5.9,2017.0
Dark Arcana: The Carnival,Artifex Mundi,Xbox One,Puzzle/Hidden Object,2017-03-17,68,tbd,2017.0
NieR: Automata,Square Enix,PC,Role-Playing/Action RPG,2017-03-17,84,8.7,2017.0
The Crow's Eye,3D2 Entertainment,PC,Action Adventure/Horror/Survival,2017-03-20,65,6.9,2017.0
The Elder Scrolls: Legends,Bethesda Softworks,PC,Miscellaneous/Board / Card Game,2017-03-20,80,5.5,2017.0
Mass Effect: Andromeda,Electronic Arts,PC,Action RPG/Role-Playing/Action RPG,2017-03-21,72,5.1,2017.0
Mass Effect: Andromeda,Electronic Arts,Xbox One,Role-Playing/Action RPG,2017-03-21,76,5.3,2017.0
EVERYTHING,David OReilly,PlayStation 4,Action Adventure/Adventure/General,2017-03-21,80,7.1,2017.0
Mass Effect: Andromeda,Electronic Arts,PlayStation 4,Role-Playing/Action RPG,2017-03-21,71,5.0,2017.0
Toukiden 2,Koei Tecmo Games,PlayStation 4,Role-Playing/Action RPG,2017-03-21,77,7.5,2017.0
Troll and I,Maximum Games,PlayStation 4,Action Adventure/General,2017-03-21,39,4.4,2017.0
Touhou Genso Wanderer,NIS America/Mediascape,PlayStation 4,Role-Playing/General/Roguelike,2017-03-21,70,6.7,2017.0
This Is the Police,THQ Nordic,PlayStation 4,Simulation/Virtual/Virtual Life/Career,2017-03-22,63,6.6,2017.0
This Is the Police,THQ Nordic,Xbox One,Simulation/Virtual/Virtual Life/Career,2017-03-22,71,7.1,2017.0
Othello,Arc System Works,Switch,Miscellaneous/Board / Card Game,2017-03-23,55,6.2,2017.0
Kona,Deep Silver/Ravenscourt,PlayStation 4,Action Adventure/Adventure/General/3D/First-Person,2017-03-23,71,7.0,2017.0
Battle Brothers,Overhype Studios,PC,Strategy/Turn-Based/Tactics,2017-03-24,80,8.0,2017.0
Mario Sports Superstars,Nintendo,3DS,Sports/General,2017-03-24,62,7.3,2017.0
88 Heroes,Rising Star Games,PlayStation 4,Action/Platformer/2D,2017-03-24,72,5.8,2017.0
Vikings: Wolves of Midgard,Kalypso,PC,Role-Playing/Action RPG,2017-03-24,66,6.7,2017.0
Zero Escape: The Nonary Games,Aksys Games/Spike Chunsoft,PlayStation 4,Miscellaneous/Compilation,2017-03-24,87,8.3,2017.0
De-formers,GameTrust,Xbox One,Action/Arcade,2017-03-24,49,tbd,2017.0
Dark Souls III: The Ringed City,Bandai Namco Games,PlayStation 4,Role-Playing/Action RPG,2017-03-28,82,8.4,2017.0
Snake Pass,Sumo Digital,PC,Action Adventure/Puzzle/Action/General,2017-03-28,71,7.1,2017.0
Snake Pass,Sumo Digital,PlayStation 4,Action Adventure/Puzzle/Action/General,2017-03-28,69,6.6,2017.0
Bush Hockey League,V7 Entertainment Inc.,PC,Sports/Team/Ice Hockey/Arcade,2017-03-28,48,4.2,2017.0
FATED: The Silent Oath,Frima Studio,PlayStation 4,Action Adventure/Adventure/General/3D/First-Person,2017-03-28,64,5.3,2017.0
Rain World,Adult Swim/Akupara Games,PC,Action/Platformer/2D,2017-03-28,66,8.8,2017.0
Rain World,Adult Swim,PlayStation 4,Action/Platformer/2D,2017-03-28,59,7.2,2017.0
Vikings: Wolves of Midgard,Kalypso,Xbox One,Role-Playing/Action RPG,2017-03-28,64,6.5,2017.0
MLB The Show 17,Sony Interactive Entertainment,PlayStation 4,Sports/Team/Baseball/Sim,2017-03-28,85,7.0,2017.0
The Walking Dead: The Telltale Series - A New Frontier Episode 3: Above the Law,Telltale Games,PC,Adventure/Point-and-Click,2017-03-28,74,6.6,2017.0
The Walking Dead: The Telltale Series - A New Frontier Episode 3: Above the Law,Telltale Games,PlayStation 4,Adventure/Point-and-Click,2017-03-28,69,4.7,2017.0
Vikings: Wolves of Midgard,Kalypso,PlayStation 4,Role-Playing/Action RPG,2017-03-28,67,6.9,2017.0
Dark Souls III: The Ringed City,Bandai Namco Games,PC,Role-Playing/Action RPG,2017-03-28,82,8.3,2017.0
Kingdom Hearts HD I.5 + II.5 Remix,Square Enix,PlayStation 4,Miscellaneous/Compilation,2017-03-28,84,8.9,2017.0
Narcosis,Narcosis Team/Honor Code/Inc.,PC,Action Adventure/Horror/Survival,2017-03-28,72,7.2,2017.0
Has-Been Heroes,GameTrust,PlayStation 4,Strategy/Turn-Based/General/Tactics,2017-03-28,61,6.5,2017.0
Snake Pass,Sumo Digital/Curve Digital,Switch,Action Adventure/Puzzle/Action/General,2017-03-28,72,7.4,2017.0
Has-Been Heroes,GameTrust,Switch,Strategy/Turn-Based/General/Tactics,2017-03-28,53,7.2,2017.0
Korix,StellarVR,PlayStation 4,Strategy/Real-Time/General,2017-03-29,69,7.0,2017.0
Bush Hockey League,V7 Entertainment Inc.,PlayStation 4,Sports/Team/Ice Hockey/Arcade,2017-03-29,56,5.0,2017.0
Snake Pass,Sumo Digital,Xbox One,Action Adventure/Puzzle/Action/General,2017-03-29,74,6.1,2017.0
Final Fantasy XV: Episode Gladiolus,Square Enix,PlayStation 4,Role-Playing/Action RPG,2017-03-29,59,8.5,2017.0
Beat Cop,11 bit studios,PC,Simulation/Virtual/Career,2017-03-30,71,7.4,2017.0
Thimbleweed Park,Terrible Toybox,Xbox One,Adventure/Point-and-Click,2017-03-30,84,7.4,2017.0
Urban Trial Freestyle 2,Tate Multimedia,3DS,Racing/Arcade/Automobile,2017-03-30,67,6.3,2017.0
Thimbleweed Park,Terrible Toybox,PC,Adventure/Point-and-Click,2017-03-30,84,8.1,2017.0
The Inner World,Headup Games,Xbox One,Adventure/General/Point-and-Click,2017-03-31,77,2.8,2017.0
LEGO City Undercover,Warner Bros. Interactive Entertainment,Xbox One,Action Adventure/Open-World,2017-04-04,77,7.2,2017.0
LEGO City Undercover,Warner Bros. Interactive Entertainment,PlayStation 4,Action Adventure/Open-World,2017-04-04,77,7.4,2017.0
Blackwood Crossing,PaperSeven,PC,Adventure/General,2017-04-04,70,6.4,2017.0
Persona 5,Atlus,PlayStation 4,Role-Playing/Japanese-Style,2017-04-04,93,8.7,2017.0
LEGO City Undercover,Warner Bros. Interactive Entertainment,Switch,Action Adventure/Open-World,2017-04-04,78,7.8,2017.0
PaRappa the Rapper Remastered,Sony Interactive Entertainment,PlayStation 4,Action/Rhythm/Music,2017-04-04,61,5.3,2017.0
Drawn to Death,SCEA/Sony Interactive Entertainment,PlayStation 4,Action/Shooter/Third-Person/Sci-Fi/Arcade,2017-04-04,56,5.9,2017.0
Blackwood Crossing,PaperSeven,PlayStation 4,Adventure/General,2017-04-04,71,6.8,2017.0
Enter The Gungeon,Devolver Digital,Xbox One,Action/General/Shooter/Shoot-'Em-Up/Top-Down,2017-04-05,85,8.3,2017.0
Vroom in the Night Sky,Poisoft,Switch,Sports/Individual/Biking,2017-04-05,17,3.3,2017.0
Paradigm,Jacob Janerka,PC,Adventure/Point-and-Click,2017-04-05,85,7.8,2017.0
Yooka-Laylee,Team17,PC,Action/Platformer/3D,2017-04-05,73,6.5,2017.0
Blackwood Crossing,PaperSeven,Xbox One,Adventure/General,2017-04-05,78,6.7,2017.0
Graceful Explosion Machine,Vertex Pop,Switch,Action/Shooter/Shoot-'Em-Up/Horizontal,2017-04-06,77,7.9,2017.0
The Franz Kafka Videogame,mif2000,PC,Adventure/Point-and-Click,2017-04-06,64,6.9,2017.0
Stellaris: Utopia,Paradox Interactive,PC,Strategy/Real-Time/General,2017-04-06,82,8.1,2017.0
Hearthstone: Heroes of Warcraft - Journey to Un'Goro,Blizzard Entertainment,PC,Strategy/Turn-Based/Card Battle,2017-04-06,79,3.8,2017.0
